District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Eastern,Hing Tung Shopping Centre (non-residential),16/03/2020,304,"Hing Tung Shopping Centre (non-residential), Eastern","22.36493,114.13832"
Central & Western,The Centrium (non-residential),16/03/2020,318,"The Centrium (non-residential), Central & Western","22.28058,114.15466"
Yau Tsim Mong,Sun Ming Building (non-residential),16/03/2020,337,"Sun Ming Building (non-residential), Yau Tsim Mong","22.24435,114.15739"
Tuen Mun,"Shopping Centre, Melody Garden (non-residential)",17/03/2020,120,"Shopping Centre, Melody Garden (non-residential), Tuen Mun","22.37414,113.961"
Tuen Mun,"Shopping Centre, Melody Garden (non-residential)",17/03/2020,121,"Shopping Centre, Melody Garden (non-residential), Tuen Mun","22.37414,113.961"
Tuen Mun,"Shopping Centre, Melody Garden (non-residential)",17/03/2020,244,"Shopping Centre, Melody Garden (non-residential), Tuen Mun","22.37414,113.961"
Sha Tin,Hilton Plaza (non-residential),17/03/2020,172,"Hilton Plaza (non-residential), Sha Tin","22.38008,114.18652"
Sha Tin,CCT Telecom Building (non-residential),17/03/2020,191,"CCT Telecom Building (non-residential), Sha Tin","22.39729,114.19755"
Sha Tin,CCT Telecom Building (non-residential),17/03/2020,217,"CCT Telecom Building (non-residential), Sha Tin","22.39729,114.19755"
Kowloon City,Hong Kong Baptist Hospital (non-residential),17/03/2020,195,"Hong Kong Baptist Hospital (non-residential), Kowloon City","22.33709,114.18225"
Kowloon City,Hong Kong Baptist Hospital (non-residential),17/03/2020,243,"Hong Kong Baptist Hospital (non-residential), Kowloon City","22.33709,114.18225"
Kwun Tong,Lam Tin South Sports Centre (non-residential),17/03/2020,200,"Lam Tin South Sports Centre (non-residential), Kwun Tong","22.30384,114.23882"
Sai Kung,Park Central Shopping Centre (non-residential),17/03/2020,205,"Park Central Shopping Centre (non-residential), Sai Kung","22.36493,114.13832"
Central & Western,Prince’s Building (non-residential),17/03/2020,206,"Prince’s Building (non-residential), Central & Western","22.32456,114.17025"
Central & Western,33 Des Voeux Rd West (non-residential),17/03/2020,208,"33 Des Voeux Rd West (non-residential), Central & Western","22.28744,114.14729"
Kwai Tsing,"Block 1, Kwai Tak Industrial Centre (non-residential)",17/03/2020,229,"Block 1, Kwai Tak Industrial Centre (non-residential), Kwai Tsing","22.35317,114.123"
Kwai Tsing,"Block 1, Kwai Tak Industrial Centre (non-residential)",17/03/2020,337,"Block 1, Kwai Tak Industrial Centre (non-residential), Kwai Tsing","22.35317,114.123"
Kwai Tsing,"Block 1, Kwai Tak Industrial Centre (non-residential)",17/03/2020,338,"Block 1, Kwai Tak Industrial Centre (non-residential), Kwai Tsing","22.35317,114.123"
Tsuen Wan,Carson Mansion (non-residential),17/03/2020,229,"Carson Mansion (non-residential), Tsuen Wan","22.37275,114.1161"
Kwun Tong,C-BONS International Tower (non-residential),17/03/2020,233,"C-BONS International Tower (non-residential), Kwun Tong","22.31339,114.21704"
Wan Chai,The Urban Edition (non-residential),17/03/2020,236,"The Urban Edition (non-residential), Wan Chai","22.29693,114.29337"
Eastern,Sai Wan Ho Market (non-residential),17/03/2020,237,"Sai Wan Ho Market (non-residential), Eastern","22.27964,114.22502"
Wan Chai,Vocational Training Council (non-residential),17/03/2020,237,"Vocational Training Council (non-residential), Wan Chai","22.25954,114.13568"
Tsuen Wan,8 Chung On Street (non-residential),17/03/2020,253,"8 Chung On Street (non-residential), Tsuen Wan","22.37189,114.1183"
Central & Western,Ho Lee Commercial Building (non-residential),17/03/2020,276,"Ho Lee Commercial Building (non-residential), Central & Western","22.28073,114.15533"
Central & Western,Ho Lee Commercial Building (non-residential),17/03/2020,343,"Ho Lee Commercial Building (non-residential), Central & Western","22.28073,114.15533"
